OBJECTID,CODIGO,NOMBRE,CODIGO_PRO,RULEID,SHAPE_Length,SHAPE_Area
106,25394,LA PALMA,250100,1,99550.51802,190790692.6
107,25320,GUADUAS,251600,1,173819.9765,763490143.4
108,25317,GUACHETÁ,250400,1,70374.28375,170650792.9
109,25154,CARMEN DE CARUPA,250400,1,104490.8027,298549062.9
110,25518,PAIME,250100,1,75639.1508,173494089.4
111,25288,FÚQUENE,250400,1,48446.47424,77461255.89
112,25779,SUSA,250400,1,59141.80798,104154544.9
113,25148,CAPARRAPÍ,251600,1,129688.8072,615669315.4
114,25745,SIMIJACA,250400,1,53383.75587,96715545.03
115,25572,PUERTO SALGAR,251600,1,146852.8734,515726449.5
116,25885,YACOPÍ,250100,1,221876.7256,957382796.4
117,11000,BOGOTÁ,250501,1,415674.4431,1635066628
