Fecha,Anio,Mes,Estacion,Precipitacion
2021-08-01,2021,8,2120639,13.321490287780762
2021-09-01,2021,9,2120639,28.55997085571289
2021-10-01,2021,10,2120639,163.00633239746094
2021-11-01,2021,11,2120639,165.6553955078125
2021-12-01,2021,12,2120639,37.01675033569336
2021-01-01,2021,1,2120641,50.53596496582031
2021-02-01,2021,2,2120641,28.17428970336914
2021-03-01,2021,3,2120641,6.911921583257618
2021-04-01,2021,4,2120641,12.045753479003906
2021-05-01,2021,5,2120641,26.462791442871094
2021-06-01,2021,6,2120641,4.405773162841797
2021-07-01,2021,7,2120641,15.636547088623047
2021-08-01,2021,8,2120641,29.300228118896484
2021-09-01,2021,9,2120641,39.33440399169922
2021-10-01,2021,10,2120641,144.30079650878906
2021-11-01,2021,11,2120641,108.2544174194336
2021-12-01,2021,12,2120641,47.16716384887695
2021-01-01,2021,1,2120644,26.682292938232422
2021-02-01,2021,2,2120644,168.36993408203125
2021-03-01,2021,3,2120644,76.2765121459961
2021-04-01,2021,4,2120644,169.99258422851562
2021-05-01,2021,5,2120644,142.41644287109375
2021-06-01,2021,6,2120644,28.509323120117188
2021-07-01,2021,7,2120644,20.596424102783203
2021-08-01,2021,8,2120644,31.16265296936035
2021-09-01,2021,9,2120644,36.68019485473633
2021-10-01,2021,10,2120644,109.49996948242188
2021-11-01,2021,11,2120644,44.08354187011719
2021-12-01,2021,12,2120644,43.19055938720703
2021-01-01,2021,1,2120646,29.04916000366211
2021-02-01,2021,2,2120646,83.97578430175781
2021-03-01,2021,3,2120646,54.34318542480469
2021-04-01,2021,4,2120646,143.91769409179688
2021-05-01,2021,5,2120646,217.159423828125
2021-06-01,2021,6,2120646,106.53559875488281
2021-07-01,2021,7,2120646,40.90468215942383
2021-08-01,2021,8,2120646,38.68892288208008
2021-09-01,2021,9,2120646,97.27716064453125
2021-10-01,2021,10,2120646,156.44715881347656
2021-11-01,2021,11,2120646,168.3687744140625
2021-12-01,2021,12,2120646,101.3102798461914
2021-01-01,2021,1,2120647,156.67160034179688
2021-02-01,2021,2,2120647,138.07583618164062
2021-03-01,2021,3,2120647,144.22950744628906
2021-04-01,2021,4,2120647,203.84193420410156
2021-05-01,2021,5,2120647,194.88612365722656
2021-06-01,2021,6,2120647,93.32930755615234
2021-07-01,2021,7,2120647,25.287097930908203
2021-08-01,2021,8,2120647,8.078030586242676
2021-09-01,2021,9,2120647,94.224609375
2021-10-01,2021,10,2120647,199.3930206298828
2021-11-01,2021,11,2120647,205.48846435546875
2021-12-01,2021,12,2120647,138.0243682861328
2021-01-01,2021,1,2306507,17.221866607666016
2021-02-01,2021,2,2306507,245.75302124023438
2021-03-01,2021,3,2306507,200.47747802734375
2021-04-01,2021,4,2306507,153.35348510742188
2021-05-01,2021,5,2306507,150.44558715820312
2021-06-01,2021,6,2306507,36.57423782348633
2021-07-01,2021,7,2306507,56.63402557373047
2021-08-01,2021,8,2306507,52.20249557495117
2021-09-01,2021,9,2306507,86.37467193603516
2021-10-01,2021,10,2306507,167.23692321777344
2021-11-01,2021,11,2306507,222.1657257080078
2021-12-01,2021,12,2306507,93.0495834350586
2021-01-01,2021,1,2306516,119.4413833618164
2021-02-01,2021,2,2306516,260.3338623046875
2021-03-01,2021,3,2306516,59.782630920410156
2021-04-01,2021,4,2306516,150.46746826171875
2021-05-01,2021,5,2306516,240.0052490234375
2021-06-01,2021,6,2306516,50.85114288330078
2021-07-01,2021,7,2306516,37.529563903808594
2021-08-01,2021,8,2306516,55.38238525390625
2021-09-01,2021,9,2306516,76.75259399414062
2021-10-01,2021,10,2306516,122.21414184570312
2021-11-01,2021,11,2306516,183.9789276123047
2021-12-01,2021,12,2306516,150.0069122314453
2021-01-01,2021,1,2306517,62.005027770996094
2021-02-01,2021,2,2306517,106.03775787353516
2021-03-01,2021,3,2306517,98.33519744873047
2021-04-01,2021,4,2306517,90.67719268798828
2021-05-01,2021,5,2306517,340.6331481933594
2021-06-01,2021,6,2306517,37.796939849853516
2021-07-01,2021,7,2306517,48.084266662597656
2021-08-01,2021,8,2306517,18.203022003173828
2021-09-01,2021,9,2306517,77.17781066894531
2021-10-01,2021,10,2306517,196.9294891357422
2021-11-01,2021,11,2306517,108.86769104003906
2021-12-01,2021,12,2306517,89.50303649902344
2021-01-01,2021,1,2401513,28.936723709106445
2021-02-01,2021,2,2401513,33.33075714111328
2021-03-01,2021,3,2401513,47.82709884643555
2021-04-01,2021,4,2401513,69.33007049560547
2021-05-01,2021,5,2401513,86.51029205322266
2021-06-01,2021,6,2401513,58.27849578857422
2021-07-01,2021,7,2401513,39.583194732666016
2021-08-01,2021,8,2401513,35.32489776611328
2021-09-01,2021,9,2401513,35.941688537597656
2021-10-01,2021,10,2401513,115.14375305175781
2021-11-01,2021,11,2401513,115.49800109863281
2021-12-01,2021,12,2401513,31.77286148071289
2021-01-01,2021,1,2401519,12.131001472473145
2021-02-01,2021,2,2401519,27.181514739990234
2021-03-01,2021,3,2401519,53.857154846191406
2021-04-01,2021,4,2401519,89.59673309326172
2021-05-01,2021,5,2401519,43.84761047363281
2021-06-01,2021,6,2401519,56.775272369384766
2021-07-01,2021,7,2401519,47.02629470825195
2021-08-01,2021,8,2401519,41.64980697631836
2021-09-01,2021,9,2401519,47.972713470458984
2021-10-01,2021,10,2401519,98.5711898803711
2021-11-01,2021,11,2401519,85.57696533203125
2021-12-01,2021,12,2401519,18.312273025512695
