Fecha,Anio,Mes,Estacion,Temperatura,Humedad,BrilloSolar
2021-01-01,2021,1,2120540,13.657052993774414,73.49307250976562,154.27688598632812
2021-02-01,2021,2,2120540,14.326712608337402,74.98848724365234,166.7078094482422
2021-03-01,2021,3,2120540,14.157853126525879,73.33985900878906,151.4732208251953
2021-04-01,2021,4,2120540,14.113024711608887,81.73157501220703,94.28054809570312
2021-05-01,2021,5,2120540,13.835660934448242,81.5376968383789,124.17405700683594
2021-06-01,2021,6,2120540,13.472222328186035,81.91130828857422,112.51714324951172
2021-07-01,2021,7,2120540,13.529620170593262,82.1844253540039,104.98841094970703
2021-08-01,2021,8,2120540,13.247306823730469,80.06633758544922,155.91038513183594
2021-09-01,2021,9,2120540,13.74480152130127,78.40743255615234,128.41786193847656
2021-10-01,2021,10,2120540,14.210949897766113,77.50545501708984,150.27548217773438
2021-11-01,2021,11,2120540,14.699384689331055,77.90917205810547,139.466552734375
2021-12-01,2021,12,2120540,13.865930557250977,74.20926666259766,165.7165985107422
2021-01-01,2021,1,2306507,17.4789981842041,77.2203598022461,153.66888427734375
2021-02-01,2021,2,2306507,18.158790588378906,79.67467498779297,142.85110473632812
2021-03-01,2021,3,2306507,16.506099700927734,81.99393463134766,120.91419982910156
2021-04-01,2021,4,2306507,17.02229118347168,80.38856506347656,108.43244934082031
2021-05-01,2021,5,2306507,17.601978302001953,79.86802673339844,111.40508270263672
2021-06-01,2021,6,2306507,17.50759506225586,82.12931823730469,101.71466064453125
2021-07-01,2021,7,2306507,18.113719940185547,75.0992431640625,127.82172393798828
2021-08-01,2021,8,2306507,17.121789932250977,73.434814453125,133.78741455078125
2021-09-01,2021,9,2306507,16.865097045898438,78.90088653564453,121.23377227783203
2021-10-01,2021,10,2306507,16.9257869720459,80.48662567138672,124.49565887451172
2021-11-01,2021,11,2306507,16.7977294921875,81.86677551269531,120.39848327636719
2021-12-01,2021,12,2306507,16.789169311523438,77.4417495727539,134.680908203125
2021-01-01,2021,1,2120557,13.684731483459473,81.54422760009766,166.94894409179688
2021-02-01,2021,2,2120557,14.448531150817871,85.44570922851562,170.64662170410156
2021-03-01,2021,3,2120557,14.687931060791016,83.72437286376953,102.41537475585938
2021-04-01,2021,4,2120557,14.392833709716797,81.25312042236328,113.54679107666016
2021-05-01,2021,5,2120557,14.78941822052002,79.84115600585938,112.69890594482422
2021-06-01,2021,6,2120557,14.850915908813477,81.86709594726562,104.56526184082031
2021-07-01,2021,7,2120557,12.953984260559082,74.0405502319336,138.32470703125
2021-08-01,2021,8,2120557,12.799047470092773,75.85430908203125,131.7127227783203
2021-09-01,2021,9,2120557,13.235577583312988,81.01864624023438,114.9674301147461
2021-10-01,2021,10,2120557,13.775347709655762,81.57996368408203,152.1693878173828
2021-11-01,2021,11,2120557,13.886919975280762,82.79544830322266,136.91537475585938
2021-12-01,2021,12,2120557,13.225958824157715,78.526611328125,166.46640014648438
2021-01-01,2021,1,2401519,13.365703582763672,75.5329818725586,166.33091735839844
2021-02-01,2021,2,2401519,14.049341201782227,72.10530090332031,169.727783203125
2021-03-01,2021,3,2401519,14.579118728637695,79.26332092285156,103.20394134521484
2021-04-01,2021,4,2401519,14.318856239318848,76.73947143554688,101.83454132080078
2021-05-01,2021,5,2401519,13.93087387084961,79.303466796875,108.68303680419922
2021-06-01,2021,6,2401519,13.47555923461914,81.7612533569336,102.96443176269531
2021-07-01,2021,7,2401519,13.906254768371582,75.80828094482422,103.08133697509766
2021-08-01,2021,8,2401519,13.669513702392578,74.52592468261719,120.92890930175781
2021-09-01,2021,9,2401519,13.426395416259766,74.45169067382812,97.60243225097656
2021-10-01,2021,10,2401519,13.514739990234375,73.33103942871094,108.87905883789062
2021-11-01,2021,11,2401519,13.427590370178223,77.21208953857422,141.34585571289062
2021-12-01,2021,12,2401519,12.395428657531738,73.45359802246094,137.69802856445312
2021-01-01,2021,1,2120562,13.365768432617188,77.16344451904297,141.56048583984375
2021-02-01,2021,2,2120562,14.12304973602295,70.81753540039062,140.6562042236328
2021-03-01,2021,3,2120562,12.584166526794434,72.46640014648438,129.1073455810547
2021-04-01,2021,4,2120562,13.260231018066406,68.80342864990234,120.13209533691406
2021-05-01,2021,5,2120562,13.851673126220703,74.14555358886719,120.91120147705078
2021-06-01,2021,6,2120562,12.90139389038086,73.40357208251953,106.11801147460938
2021-07-01,2021,7,2120562,12.328348159790039,70.46318817138672,117.48233795166016
2021-08-01,2021,8,2120562,12.722068786621094,73.14776611328125,157.00759887695312
2021-09-01,2021,9,2120562,12.590581893920898,73.61602783203125,138.84336853027344
2021-10-01,2021,10,2120562,13.115976333618164,74.5955810546875,146.19195556640625
2021-11-01,2021,11,2120562,13.643750190734863,74.49878692626953,155.1807098388672
2021-12-01,2021,12,2120562,12.29626750946045,71.00200653076172,186.5193634033203
2021-01-01,2021,1,2120548,13.972216606140137,73.4018325805664,174.02511596679688
2021-02-01,2021,2,2120548,13.88275146484375,77.05773162841797,149.69187927246094
2021-03-01,2021,3,2120548,14.421201705932617,75.54480743408203,124.46636962890625
2021-04-01,2021,4,2120548,12.762615203857422,78.34247589111328,98.6684799194336
2021-05-01,2021,5,2120548,11.99545955657959,78.35342407226562,87.15179443359375
2021-06-01,2021,6,2120548,11.632075309753418,83.90213775634766,65.01338195800781
2021-07-01,2021,7,2120548,11.506767272949219,83.42452239990234,77.58039093017578
2021-08-01,2021,8,2120548,11.247147560119629,78.41320037841797,99.28430938720703
2021-09-01,2021,9,2120548,12.30358600616455,76.61335754394531,111.80416870117188
2021-10-01,2021,10,2120548,11.19455337524414,76.052734375,97.2209243774414
2021-11-01,2021,11,2120548,12.663254737854004,78.00153350830078,119.92511749267578
2021-12-01,2021,12,2120548,13.167634010314941,73.83274841308594,163.5408172607422
2021-01-01,2021,1,2120559,13.104488372802734,75.10209655761719,134.49435424804688
2021-02-01,2021,2,2120559,13.312447547912598,78.72430419921875,111.31565856933594
2021-03-01,2021,3,2120559,13.520975112915039,81.0188217163086,115.67835998535156
