estacion,nom_est,ciudad,longitud,latitud,x,y
2120080,San jose,Guasca,-73.90458333,4.8499167,1019181.44,1028058.85
2120027,Saucio,Choconta,-73.70619444,5.1088056,1041171.6,1056696.9
2401513,Simijaca,Simijaca,-73.85802778,5.5120833,1024320.25,1101285.48
2401037,Socota,Carmen de Carupa,-73.91925,5.4080556,1017539.32,1089779.45
2120136,Sta ines,Tenjo,-74.1415,4.8065,992901.32,1023255.63
2120176,Sta isabel,Tabio,-74.06794444,4.9953333,1001060.58,1044136.94
2120103,Sta teresa,La Calera,-73.93119444,4.7456667,1016232.09,1016529.94
2120069,Tesoro,Facatativa,-74.31777778,4.8003889,973346.4,1022584.19
2120077,Torca,Bogota,-74.02805556,4.7908333,1005485.91,1021523.04
2401044,Tres esquinas,Susa,-73.85780556,5.3858889,1024349.96,1087330.26
2401039,Triangulo el,Lenguazaque,-73.61930556,5.3108889,1050789.88,1079050.89
2120185,Tribuna la,Facatativa,-74.41066667,4.8661389,963045.52,1029859.4
2120055,Union la,Subachoque,-74.25138889,4.8746944,980713.18,1030798.87
2119514,Univ. Fusagasuga,Fusagasuga,-74.37025,4.3356667,967504.6,971196.19
2120629,Venecia,Facatativa,-74.39952778,4.8441389,964279.92,1027425.96
2120640,Victoria la,Tocaima,-74.60863889,4.4659444,941052.25,985617.41
2120043,Villapinzon,Villapinzon,-73.6,5.2105556,1052938.35,1067956.9
2120637,Violetas las,Agua de Dios,-74.68763889,4.3785556,932276.17,975960.13
2401051,Zarzal el,Guacheta,-73.65766667,5.4423056,1046527.65,1093580.84
2120074,Zipaquira,Zipaquira,-73.999,5.0240556,1008706.11,1047313.64
